date,basis_binance,basis_deribit,basis_3m
2021-09-23,6.9553,6.5056,6.7304
2021-09-24,5.5215,5.3167,5.4191
2021-09-25,5.6167,5.5191,5.5679
2021-09-26,7.0076,6.9322,6.9699
2021-09-27,5.8813,6.1647,6.023
2021-09-28,5.155,5.1969,5.176
2021-09-29,5.4572,5.049,5.2531
2021-09-30,6.3779,6.2913,6.3346
2021-10-01,7.7063,7.5125,7.6094
2021-10-02,7.3093,7.543,7.4262
2021-10-03,8.1778,8.3761,8.2769
2021-10-04,9.446,8.9796,9.2128
2021-10-05,8.908,9.8151,9.3615
2021-10-06,9.298,10.0237,9.6608
2021-10-07,10.076,10.4956,10.2858
2021-10-08,10.3342,10.8408,10.5875
2021-10-09,12.403,11.6325,12.0177
2021-10-10,11.9079,11.884,11.896
2021-10-11,14.8974,13.51,14.2037
2021-10-12,13.8593,13.0388,13.449
2021-10-13,14.8833,13.8647,14.374
2021-10-14,14.0833,13.0024,13.5429
2021-10-15,15.5292,14.4956,15.0124
2021-10-16,14.387,12.8605,13.6238
2021-10-17,14.7787,13.1449,13.9618
2021-10-18,14.9406,13.1571,14.0489
2021-10-19,16.1985,14.9498,15.5741
2021-10-20,18.9176,16.5646,17.7411
2021-10-21,16.9843,15.4765,16.2304
2021-10-22,15.6426,13.5868,14.6147
2021-10-23,16.3363,14.8608,15.5985
2021-10-24,15.7982,14.6036,15.2009
2021-10-25,17.6588,16.0942,16.8765
2021-10-26,13.841,13.3963,13.6187
2021-10-27,10.9456,11.735,11.3403
2021-10-28,15.606,14.9875,15.2968
2021-10-29,16.1903,15.3702,15.7802
2021-10-30,15.1976,14.6621,14.9299
2021-10-31,13.4071,13.5033,13.4552
2021-11-01,13.8288,13.604,13.7164
2021-11-02,17.6579,16.1023,16.8801
2021-11-03,17.1631,15.8942,16.5286
2021-11-04,15.3836,14.4699,14.9268
2021-11-05,14.3272,13.591,13.9591
2021-11-06,13.0005,13.0893,13.0449
2021-11-07,15.8259,14.8948,15.3604
2021-11-08,19.9805,18.3295,19.155
2021-11-09,17.7039,16.3928,17.0484
2021-11-10,13.6439,12.5868,13.1153
2021-11-11,13.416,11.9741,12.6951
2021-11-12,12.3901,11.7763,12.0832
2021-11-13,12.912,11.0721,11.9921
2021-11-14,13.1927,11.7353,12.464
2021-11-15,11.8112,11.0237,11.4174
2021-11-16,10.4897,9.0392,9.7645
2021-11-17,12.1496,10.7566,11.4531
2021-11-18,10.3475,8.6215,9.4845
2021-11-19,11.4788,9.8425,10.6606
2021-11-20,12.7525,10.7009,11.7267
2021-11-21,12.4054,11.3457,11.8755
2021-11-22,10.4069,10.0426,10.2248
2021-11-23,11.7739,9.9422,10.8581
2021-11-24,11.4975,10.4517,10.9746
2021-11-25,13.2911,9.8599,11.5755
