date,btc_price,realized_cap_usd,lth_realized_cap_usd,sth_realized_cap_usd
2015-01-04,264.117167123522,4399107032.90411,2952683561.05616,1446423407.055228
2015-01-05,274.933754722416,4391222582.93819,2950964294.61867,1440258246.1670642
2015-01-06,288.393379604576,4392397376.78322,2957581385.3362,1434815971.528256
2015-01-07,298.067454450802,4391065619.70389,3002747950.95429,1388317716.714063
2015-01-08,283.460201292936,4382694195.28145,3004827066.72001,1377867079.536345
2015-01-09,291.36812101832,4374563480.78507,3006976789.89866,1367586716.079491
2015-01-10,275.832689140817,4370411205.02745,3007528773.79022,1362882494.308918
2015-01-11,266.934482518228,4368465594.4937,3008911125.17003,1359554423.928865
2015-01-12,268.230027341168,4363427034.84401,3008109734.74339,1355317221.989314
2015-01-13,228.417294258685,4346803798.72197,3004848986.86138,1341954806.3427901
2015-01-14,178.498024352187,4314932856.61288,2999045334.32392,1315887452.45525
2015-01-15,210.054440590328,4311902400.49411,3004652147.45153,1307250272.317124
2015-01-16,208.447981731802,4306758854.04897,3007066358.54193,1299692523.7590811
2015-01-17,200.638757474675,4303286327.54653,3010928593.24319,1292357793.779748
2015-01-18,211.255776340249,4302406288.11723,3012618635.21861,1289787667.8052099
2015-01-19,216.299297195678,4300812338.39508,3014984956.47492,1285827393.675202
2015-01-20,211.858954423213,4297358435.62243,3021077479.47073,1276280846.94014
2015-01-21,227.6633105251,4275804177.59678,3016686752.77967,1259117376.024127
2015-01-22,234.309861085428,4276126237.87249,3018918340.73925,1257207984.673618
2015-01-23,233.318179638072,4275007924.11987,3030760264.811,1244247648.01022
2015-01-24,249.0344479994,4277046177.696,3033971261.50121,1243074974.2466478
2015-01-25,254.67326692523,4277765625.31897,3038266921.76242,1239498656.4544451
2015-01-26,275.740812337644,4266984562.67432,3011662459.68875,1255322007.2315152
2015-01-27,265.303292695851,4265631939.24707,3010891515.94233,1254740371.8191469
2015-01-28,234.657661705218,4261696764.37819,3011690016.26661,1250006728.419706
