date,event,btc_price
5/26/2015,,236.9909359
5/27/2015,,236.3739905
5/28/2015,,236.9073363
5/29/2015,,236.5071444
5/30/2015,,232.7059761
5/31/2015,,229.1584456
6/1/2015,,222.7146118
6/2/2015,,225.1558868
6/3/2015,,225.207661
6/4/2015,,223.6498524
6/5/2015,,224.5708327
6/6/2015,,225.366715
6/7/2015,,223.3183603
6/8/2015,,228.7224974
6/9/2015,,229.113379
6/10/2015,,228.5414943
6/11/2015,,229.6486991
6/12/2015,,229.5024625
6/13/2015,,232.8951571
6/14/2015,,233.2250418
6/15/2015,,236.640351
6/16/2015,,251.6764315
6/17/2015,,248.8021783
6/18/2015,,249.354989
6/19/2015,,244.7492109
6/20/2015,,245.3849329
6/21/2015,,244.1894521
6/22/2015,,246.6715695
6/23/2015,,244.2535332
6/24/2015,,239.9549349
6/25/2015,,242.227366
6/26/2015,,243.1983436
6/27/2015,,251.4840556
6/28/2015,,248.8636704
6/29/2015,,256.6748097
6/30/2015,,263.0282797
7/1/2015,,258.1252654
7/2/2015,,254.7376115
7/3/2015,,256.3096106
7/4/2015,,260.5319622
7/5/2015,,271.4979498
7/6/2015,,268.9859616
7/7/2015,,265.8046711
7/8/2015,,270.6061626
7/9/2015,,269.3497216
7/10/2015,,285.5916891
7/11/2015,,293.2812719
7/12/2015,,311.3781451
7/13/2015,,292.7113712
7/14/2015,,287.7100439
7/15/2015,,285.7014045
7/16/2015,,278.6957733
7/17/2015,,280.0432366
7/18/2015,,277.1707265
7/19/2015,,274.8572216
7/20/2015,,279.9836024
7/21/2015,,276.664715
7/22/2015,,278.5324881
7/23/2015,,277.1799007
7/24/2015,,289.1093212
7/25/2015,,289.4079998
7/26/2015,,293.547475
7/27/2015,,294.5602174
7/28/2015,,295.1829718
7/29/2015,,290.2713649
7/30/2015,,288.4310603
7/31/2015,,284.8326823
8/1/2015,,280.4815531
8/2/2015,,282.3538333
8/3/2015,,281.1240373
8/4/2015,,285.3480242
8/5/2015,,282.6320665
8/6/2015,,279.7299854
8/7/2015,,280.1314225
8/8/2015,,261.8939163
8/9/2015,,266.0024063
8/10/2015,,265.0960238
8/11/2015,,271.905537
8/12/2015,,267.5082354
8/13/2015,,264.7622289
8/14/2015,,266.1096742
8/15/2015,,262.4219332
8/16/2015,,259.136902
8/17/2015,,257.7976182
8/18/2015,,221.286454
8/19/2015,,226.7241326
8/20/2015,,235.7249093
8/21/2015,,233.0536311
8/22/2015,,230.7817985
8/23/2015,,229.0636054
8/24/2015,,210.5885753
8/25/2015,,222.7661938
8/26/2015,,226.1897422
8/27/2015,,225.5100719
8/28/2015,,231.7421396
8/29/2015,,230.5904269
8/30/2015,,229.4555569
8/31/2015,,230.6801274
9/1/2015,,228.2768935
9/2/2015,,229.5881903
9/3/2015,,227.4483285
9/4/2015,,230.869809
9/5/2015,,235.745613
9/6/2015,,240.7247268
9/7/2015,,240.6263979
9/8/2015,,244.2513851
9/9/2015,,238.7557566
9/10/2015,,239.0821484
9/11/2015,,240.5327967
9/12/2015,,235.5533515
9/13/2015,,230.4628584
9/14/2015,,230.5453064
9/15/2015,,230.7661083
9/16/2015,,229.0420483
9/17/2015,,233.1994664
9/18/2015,,232.5402618
9/19/2015,,231.2006783
9/20/2015,,230.6987137
9/21/2015,,226.8532086
9/22/2015,,231.0212761
9/23/2015,,230.127125
9/24/2015,,234.5201768
9/25/2015,,235.4208069
9/26/2015,,234.3201484
9/27/2015,,232.8021109
9/28/2015,,239.7818198
9/29/2015,,237.0636208
9/30/2015,,236.458024
10/1/2015,,237.7841175
10/2/2015,,238.0987535
10/3/2015,,239.4898968
10/4/2015,,239.0310181
10/5/2015,,241.1376581
10/6/2015,,246.8856628
10/7/2015,,243.7086961
10/8/2015,,243.1349716
10/9/2015,,244.6634583
10/10/2015,,245.906034
10/11/2015,,248.219397
10/12/2015,,246.208993
10/13/2015,,250.5355232
10/14/2015,,253.0087948
10/15/2015,,254.9556825
10/16/2015,,263.2940053
10/17/2015,,272.0807942
10/18/2015,,263.8239621
10/19/2015,,264.6977324
